학교명,학교급구분,설립일자,설립형태,본교분교구분,소재지도로명주소,시도교육청명,교육지원청명,위도,경도
남평중학교,중학교,1967-03-03,공립,본교,전라남도 나주시 남평읍 남평3로 40,전라남도교육청,전라남도나주교육지원청,35.04569913,126.8463686
청룡초등학교장고분교장,초등학교,1951-09-01,공립,분교,충청남도 보령시 오천면 장고도2길 18,충청남도교육청,충청남도보령교육지원청,36.38896166,126.3361657
태안초등학교,초등학교,2004-10-04,공립,본교,경기도 화성시 병점3로 77,경기도교육청,경기도화성오산교육지원청,37.21065951,127.0408656
해제남초등학교,초등학교,1930-09-01,공립,본교,전라남도 무안군 해제면 돌기길 5,전라남도교육청,전라남도무안교육지원청,35.08244622,126.2955578
백구초등학교,초등학교,1963-11-22,공립,본교,전라북도 김제시 백구면 석담2길 36,전라북도교육청,전라북도김제교육지원청,35.88643131,126.9702089
수원중학교,중학교,1916-04-27,사립,본교,경기도 수원시 팔달구 정조로 666-10,경기도교육청,경기도수원교육지원청,37.26713365,127.0174147
인천해원고등학교,고등학교,2013-03-01,공립,본교,인천광역시 서구 청라사파이어로140번길 25,인천광역시교육청,인천광역시서부교육지원청,37.52816764,126.6275858
장안여자중학교,중학교,1973-05-04,사립,본교,경기도 화성시 장안면 기아자동차로 814,경기도교육청,경기도화성오산교육지원청,37.07765669,126.8163354
인주중학교,중학교,1971-01-16,공립,본교,충청남도 아산시 인주면 영인산로 85,충청남도교육청,충청남도아산교육지원청,36.86636565,126.8941346
서울청담초등학교,초등학교,1980-04-04,공립,본교,서울특별시 강남구 압구정로71길 9,서울특별시교육청,서울특별시강남서초교육지원청,37.52828187,127.045153
대구논공초등학교,초등학교,2004-03-01,공립,본교,대구광역시 달성군 논공읍 논공로7길 41,대구광역시교육청,대구광역시달성교육지원청,35.73107603,128.4376482
한국마사고등학교,고등학교,2002-10-01,사립,본교,전라북도 장수군 장계면 명덕길 14,전라북도교육청,전라북도장수교육지원청,35.72425456,127.6344655
이리공업고등학교,고등학교,1940-04-11,공립,본교,전라북도 익산시 동서로14길 30-2,전라북도교육청,전라북도익산교육지원청,35.9542133,126.9533587
수회초등학교,초등학교,1946-09-01,공립,본교,충청북도 충주시 수안보면 수회리로 88,충청북도교육청,충청북도충주교육지원청,36.8785989,127.974202
백산초등학교,초등학교,1990-03-01,공립,본교,부산광역시 북구 덕천로259번길 23,부산광역시교육청,부산광역시북부교육지원청,35.21200432,129.032752
청운초등학교,초등학교,2002-09-01,공립,본교,강원도 동해시 청운로 60,강원도교육청,강원도동해교육지원청,37.48530257,129.1041723
인천여자중학교,중학교,2017-10-26,공립,본교,인천광역시 연수구 원인재로 47,인천광역시교육청,인천광역시동부교육지원청,37.40452387,126.6739504
삼기중학교,중학교,1972-03-06,공립,본교,전라북도 익산시 삼기면 황금로 499,전라북도교육청,전라북도익산교육지원청,36.02164678,126.9839093
저청중학교,중학교,1963-12-04,공립,본교,제주특별자치도 제주시 한경면 중산간서로 3590,제주특별자치도교육청,제주특별자치도제주시교육지원청,33.32556023,126.2529321
가은초등학교,초등학교,1930-09-25,공립,본교,경상북도 문경시 가은읍 가은로 129,경상북도교육청,경상북도문경교육지원청,36.64373946,128.0630824
수일중학교,중학교,1983-03-01,공립,본교,경기도 수원시 장안구 수일로 103,경기도교육청,경기도수원교육지원청,37.31021301,127.0024664
칠성고등학교,고등학교,2008-09-25,공립,본교,대구광역시 북구 칠성로 13,대구광역시교육청,대구광역시서부교육지원청,35.88060728,128.5912615
해운대여자고등학교,고등학교,1981-11-25,사립,본교,부산광역시 해운대구 우동1로85번길 71,부산광역시교육청,부산광역시해운대교육지원청,35.16960195,129.1530235
오산정보고등학교,고등학교,1962-03-05,공립,본교,경기도 오산시 청학로5번길 20,경기도교육청,경기도화성오산교육지원청,37.15389008,127.059967
백초초등학교,초등학교,1968-09-03,공립,본교,전라남도 여수시 돌산읍 돌산로 3560-10,전라남도교육청,전라남도여수교육지원청,34.72950215,127.7444558
계곡초등학교,초등학교,1921-09-15,공립,본교,전라남도 해남군 계곡면 성진길 6-37,전라남도교육청,전라남도해남교육지원청,34.64623575,126.6574783
강원체육고등학교,고등학교,1992-03-02,공립,본교,강원도 춘천시 자라우새길 126,강원도교육청,강원도춘천교육지원청,37.85912229,127.694804
목포여자상업고등학교,고등학교,1973-03-07,사립,본교,전라남도 목포시 영산로 413-1,전라남도교육청,전라남도목포교육지원청,34.80787958,126.4098144
인동고등학교,고등학교,2001-02-23,공립,본교,경상북도 구미시 인동36길 45,경상북도교육청,경상북도구미교육지원청,36.08996164,128.4322095
